,Hotel Names,Rating,Stars,Location,Center Distance,Price,Description
0,chic&basic Habana Hoose,"8,5",3,Ciutat Vella,0.9,2.773,"Chic&basic Habana Hoose es un alojamiento con una ubicación excelente en Barcelona que ofrece restaurante, wifi gratis, bar y habitaciones con aire acondicionado. Este hotel de 3 estrellas ofrece servicio de conserjería y mostrador de información turística. Este alojamiento libre de humo se encuentra a 18 min a pie de Platja del Somorrostro.

En el hotel, todas las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Cada habitación dispone de caja fuerte, y algunas también ofrecen balcón.

En chic&basic Habana Hoose se puede disfrutar de un desayuno buffet.

La recepción ofrece ayuda de forma ininterrumpida, y el personal habla catalán, inglés y español.

Cerca del alojamiento hay puntos de interés como Platja de Sant Miquel, Platja de la Barceloneta y Santa María del Mar. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 12 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
1,Sonder Los Arcos,"8,2",,Ciutat Vella,1.0,3.152,"Sonder Los Arcos está en Barcelona, a 2 km de Platja de Sant Miquel y a 2,2 km de Platja de la Barceloneta, y ofrece alojamiento con wifi gratis. El alojamiento está cerca de varios lugares de interés destacados, a unos 11 min a pie de Plaza Cataluña, a 900 metros de Portal del Ángel y a 15 min a pie de Teatro Tívoli. El alojamiento está a 900 metros del centro de la ciudad y a 2 km de Platja de Sant Sebastià.

Las unidades están equipadas con aire acondicionado, TV de pantalla plana con canales por cable, cafetera, bañera o ducha, artículos de aseo gratuitos y escritorio. Todas las habitaciones tienen baño privado, secador de pelo y ropa de cama.

Cerca del alojamiento hay puntos de interés como Palacio de la Música Catalana, Paseo de Gracia y Catedral de Barcelona. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 13 km."
2,BARCELONA GOTIC Guesthouse,"7,7",1,Ciutat Vella,1.0,839,"El BARCELONA GOTIC Guesthouse ocupa un edificio del siglo XIX situado en pleno centro histórico de Barcelona, a solo 2 minutos a pie de las Ramblas y a 15 minutos a pie de la playa de la Barceloneta.

Las habitaciones tienen baño privado o compartido. Este alojamiento dispone de un salón comunitario con TV, una recepción 24 horas y conexión Wi-Fi gratuita en las zonas comunes. La conexión Wi-Fi está disponible en las habitaciones por un suplemento.

El GuestHouse Barelona Gotic se encuentra en el encantador Barrio Gótico y está rodeado de bares animados, restaurantes y cafeterías. La principal zona comercial de la ciudad queda a pocos minutos a pie.

El establecimiento se encuentra a 10 minutos a pie de Plaza Cataluña y a 5 minutos a pie de las paradas de metro de Liceu y Jaume I."
3,Residencia Universitaria Campus del Mar,"7,9",,Ciutat Vella,1.8,1.660,"La Residencia Campus del Mar está muy bien ubicada en el barrio de La Barceloneta en Barcelona, a 200 metros de la playa. Alberga un centro de fitness y ofrece conexión gratuita a internet tanto en las habitaciones como en las zonas comunes.

Las habitaciones de la Residencia Campus del Mar disponen de zona de cocina con microondas y set de té/café. La mayoría tiene TV.

La Residencia también cuenta con zona de biblioteca y sala de juegos con mesa de billar y mesa de ping pong. Hay aparcamiento privado, lavandería y recepción 24 horas. Se ofrece un servicio de alquiler de bicicletas bajo petición.

Hay varias máquinas expendedoras.

La Residencia Campus del Mar se encuentra a unos 2 minutos a pie del parque de la Ciudadela y del paseo marítimo. La estación de metro Barceloneta queda a 250 metros.

Este alojamiento permanece abierto todo el año para la comunidad universitaria (estudiantes, profesores, investigadores y personal administrativo)."
4,Travelodge Barcelona Poblenou,"7,3",1,Sant Martí,2.9,1.491,"Este moderno hotel cuenta con 250 amplias y completamente equipadas habitaciones, un Snack-Bar abierto las 24 horas donde los clientes pueden disfrutar de un desayuno buffet, así como comidas ligeras para el almuerzo y la cena. También dispone de máquinas expendedoras y parking privado de pago. Todas sus instalaciones están perfectamente adaptadas y accesibles para personas con movilidad reducida.
Es un hotel con WiFi de alta velocidad gratuito e ilimitado en las zonas comunes. También disponen de WiFi por un suplemento.
Travelodge Barcelona Poblenou es un hotel pet-friendly que estará encantado de ofrecerte a ti y a tu mascota la mejor experiencia.
Se encuentra en el tradicional barrio de Poblenou, dentro de calles llenas de restaurantes, bares y tiendas. Uno de los barrios con más encanto de la ciudad, ya 600 metros de la playa del Bogatell. Se puede llegar al centro de la ciudad de Barcelona en 10 minutos en metro y el Port Olímpic de Barcelona, con su vibrante vida nocturna, está a solo 20 minutos a pie.
Este es considerado el barrio más innovador de la ciudad. Está en pleno Distrito 22@ y concentra multitud de empresas tecnológicas y de I+D. Por tanto, gracias a su ubicación e instalaciones, también es un alojamiento perfecto para viajes de negocios.
Travelodge Barcelona Poblenou te ofrece todo lo que necesitas para tener la mejor experiencia en la ciudad de Barcelona."
5,Barcelonaforrent The Central Place,"8,2",4,Eixample,0.6,5.844,"El Barcelonaforrent The Central Places ofrece vistas a la Casa Batlló y está en una zona céntrica, entre el Paseo de Gracia y La Rambla. Los apartamentos cuentan con balcón, aire acondicionado y WiFi gratuita.

La zona de estar, que presenta una decoración sencilla y un interior luminoso, dispone de TV de pantalla plana con Netflix, sofá cama y soporte para iPod. La cocina está equipada con horno, lavavajillas y cafetera.

Los dormitorios del Barcelonaforrent The Central Places son modernos y tienen suelo de parquet y camas individuales. También disponen de baño privado con ducha y toallas. Se proporciona ropa de cama.

En los alrededores de los apartamentos hay tiendas y restaurantes. La estación de metro Passeig de Gràcia está a 250 metros y ofrece conexiones con la Sagrada Familia y la playa de La Barceloneta en menos de 20 minutos. El aeropuerto de Barcelona-El Prat queda a 15 minutos en coche."
6,Acta Voraport,"8,8",3,Sant Martí,2.9,2.195,"Acta Voraport está en Barcelona, a 10 min a pie de Platja del Bogatell, y dispone de alojamiento con piscina al aire libre, parking privado, terraza y restaurante. Este hotel de 3 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece cajero automático, servicio de conserjería y servicio de organización de tours.

En el hotel, cada habitación está equipada con escritorio y TV de pantalla plana. En Acta Voraport, cada habitación cuenta con ropa de cama y toallas.

En el alojamiento se sirve todas las mañanas un desayuno buffet.

En la recepción 24 horas se hablan varios idiomas, como catalán, inglés, español y francés.

Cerca del alojamiento hay puntos de interés como Playa de la Mar Bella, Platja de la Nova Icària y Platja del Somorrostro. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 15 km."
7,Hotel Viladomat,"7,6",3,Eixample,1.6,2.047,"El Hotel Viladomat goza de una ubicación idónea en Barcelona, a menos de 10 minutos a pie de la estación de metro Hospital Clinic. Ofrece WiFi gratuita y bar.

Todas las habitaciones disponen de aire acondicionado, TV vía satélite, caja fuerte, escritorio y minibar. El baño privado incluye bañera, ducha, secador de pelo y artículos de aseo gratuitos.

El Hotel Viladomat cuenta con recepción 24 horas y servicio de venta de entradas. Además, se proporciona servicio de enlace con el aeropuerto por un suplemento y consigna de equipaje.

Está a 20 minutos a pie de la Plaza Catalunya y de las famosas Ramblas de Barcelona. Si lo desea, el personal puede proporcionarle información sobre la ciudad y los principales lugares de interés. El Hotel Viladomat se encuentra a 1 km de la estación de Sants, con servicio directo al aeropuerto de Barcelona."
8,Hotel Glòries,"7,9",3,Eixample,1.9,1.755,"Este moderno hotel se encuentra a 200 metros de la plaza de toros Monumental de Barcelona y a 12 minutos de la Sagrada Familia. Todas las habitaciones disponen de aire acondicionado, calefacción, TV vía satélite y wifi gratuita.

La estación de metro Monumental está a solo 3 minutos a pie del Hotel Glòries, que comunica directamente con plaza Cataluña en unos 5 minutos.

El hotel goza una buena ubicación para acceder a la zona de alta tecnología 22@, además de la Torre Agbar. El Teatro Nacional de Cataluña y la sala de conciertos Auditori se encuentran a solo 400 metros.

La recepción 24 horas del Hotel Glòries ofrece servicio de alquiler de coches y bicicletas. También se pueden reservar tickets."
9,Exe Mitre,"8,3",3,Sarrià,3.2,1.726,"El Exe Mitre goza de una ubicación tranquila en el barrio de San Gervasi de Barcelona, ​​a 200 metros del parque del Putxet. Ofrece habitaciones amplias y WiFi gratuita.

El amplio desayuno buffet incluye platos fríos y calientes. Además, el atento personal estará encantado de recomendarle restaurantes y bares de la zona.

Las elegantes habitaciones del Exe Mitre presentan una decoración clásica y están equipadas con TV de pantalla plana. Algunas también tienen una terraza con vistas a la montaña del Tibidado.

El Exe Mitre está a solo 15 minutos a pie del famoso Park Güell de Gaudí y a 200 metros de la estación de ferrocarril de Putxet, que conecta con el Passeig de Gràcia en solo 6 minutos. La plaza Catalunya y las Ramblas quedan a 8 minutos en metro."
