,Hotel Names,Rating,Stars,Location,Center Distance,Price,Description
0,SCF Collection - Duomo,"8,0",4,Centro de Milán,30.0,2.219,"SCF Collection - Duomo se encuentra a pocos pasos del centro de Milán y ofrece restaurante y bar. Se ofrece wifi gratis en todo el alojamiento.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El desayuno está disponible e incluye opciones buffet, a la carta o continentales.

Hay servicio de alquiler de bicicletas y servicio de alquiler de coches en el apartamento.

Cerca del alojamiento hay puntos de interés como San Maurizio al Monastero Maggiore, Palacio Real y Museo Del Novecento. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
1,Sonder Missori,"8,2",4,Centro de Milán,0.6,1.537,"Sonder Missori es un alojamiento muy bien situado en el centro de Milán que ofrece desayuno continental y wifi gratis. Este hotel de 4 estrellas, construido en 2022, está a 9 min a pie de Museo Del Novecento y a 1,4 km de Dársena de Milán. Este alojamiento libre de humo se encuentra a 7 min a pie de Palacio Real.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana con canales por cable, cafetera, bañera o ducha, artículos de aseo gratuitos y escritorio. Las unidades incluyen baño privado, secador de pelo y ropa de cama.

Cerca del alojamiento hay puntos de interés como San Maurizio al Monastero Maggiore, Estación de metro San Babila y La Scala. El aeropuerto (Aeropuerto de Milán - Linate) está a 8 km."
2,Hbhall Residenze Darsena,"8,2",3,Navigli,1.6,795,"La Residenze Darsena ofrece apartamentos modernos con WiFi gratuita y aire acondicionado a solo 500 metros de la estación de metro Porta Genova de Milán. El establecimiento se encuentra en la animada zona de Porta Ticinese, con excelentes conexiones con la red de traslado de la ciudad.

Todos los apartamentos del Darsena incluyen zona de cocina y algunos disponen de balcón.

La Residenze Darsena está cerca de todos los servicios necesarios, como restaurantes, tiendas y cafeterías."
3,Aparthotel Dei Mercanti,"7,7",3,Centro de Milán,0.05,1.775,"El Aparthotel Dei Mercanti está a 100 metros de la catedral de Milán, en Milán, y ofrece aire acondicionado y WiFi gratuita. El teatro La Scala se encuentra a 5 minutos a pie.

Los apartamentos cuentan con vistas a la ciudad, zona de cocina totalmente equipada y zona de estar con sofá cama. Uno de ellos incluye bañera de hidromasaje.

La estación de metro Duomo está a pocos pasos del Aparthotel Dei Mercanti y comunica directamente con la estación de tren y metro Milan Centrale. Además, el establecimiento queda a 2 km del distrito de la moda de Milán."
4,Aparthotel Porta Nuova,"8,5",3,Centro de Milán,1.4,2.372,"Aparthotel Porta Nuova ofrece alojamiento con aire acondicionado en el centro de Milán, a 10 min a pie de Pinacoteca de Brera, a 1,4 km de Estación de metro Centrale y a 12 min a pie de GAM Milano. Hay wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales por cable y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera, microondas y minibar, además de cafetera.

Cerca del alojamiento hay puntos de interés como Bosco Verticale, Arena Civica y La Scala. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km."
5,IMHOME - Dante,"8,2",4,Centro de Milán,0.5,1.343,"IMHOME - Dante ofrece alojamiento con aire acondicionado en el centro de Milán, a 5 min a pie de Castillo Sforzesco, a 600 metros de La Scala y a 7 min a pie de Galería Vittorio Emanuele. Hay wifi gratis en todo el alojamiento.

El alojamiento está equipado con TV de pantalla plana y baño privado con bidet, ducha y artículos de aseo gratuitos. La cocina dispone de nevera, lavavajillas y horno. También se ofrece fogones y cafetera.

Cerca del alojamiento hay puntos de interés como Montenapoleone Metro Station, Piazza del Duomo y Duomo Milan. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km."
6,Luxury Apartments Fioravanti,"8,4",4,Sempione,2.2,1.485,"Luxury Apartments Fioravanti se encuentra a 11 min a pie de Arena Civica, en Milán, y ofrece alojamiento con aire acondicionado y wifi gratis.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales por cable y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera, lavavajillas y horno, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como CityLife, Castillo Sforzesco y Pinacoteca de Brera. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
7,Easy Milano - Rooms and Apartments Navigli,"8,2",3,Navigli,1.8,1.016,"El Easy Milano - Rooms and Apartments Navigli ofrece habitaciones coloridas y modernas con conexión wifi gratuita y apartamentos. Está ubicado en una zona con encanto, cerca de los canales de Milán (Navigli) y a 10 minutos a pie de la estación de metro Porta Genova.

Las habitaciones disponen de aire acondicionado, minibar y TV LCD. Los apartamentos también tienen cocina o zona de cocina. Easy Milano - Rooms and Apartments Navigli se encuentra en un patio tranquilo, pero está cerca de tiendas, restaurantes y bares.

Hay una parada de tranvía cercana, cuya línea enlaza con la catedral (Duomo) en menos de 15 minutos. Los huéspedes también pueden ir al centro de Milán a pie. El centro de exposiciones Rho Fiera se encuentra a 12 km del Easy Milano - Habitaciones y Apartamentos Navigli.

Del 24 al 25 de diciembre de 2023, la recepción estará abierta de 8:00 a 18:00."
8,Worldhotel Cristoforo Colombo,"8,5",4,Centro de Milán,1.9,1.456,"Worldhotel Cristoforo Colombo es un alojamiento con una ubicación ideal en el centro de Milán que ofrece habitaciones con aire acondicionado, centro de fitness, wifi gratis y restaurante. Este hotel de 4 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay bar.

En el hotel, cada habitación dispone de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Cada habitación incluye caja fuerte, algunas ofrecen terraza y otras también incluyen vistas a la ciudad. Todas las habitaciones cuentan con armario y hervidor.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o italiano.

Cerca del alojamiento hay puntos de interés como GAM Milano, Villa Necchi Campiglio y Estación de metro San Babila. El aeropuerto (Aeropuerto de Milán - Linate) está a 7 km."
9,43 Station Hotel,"8,1",3,Estación central,2.8,907,"El 43 Station Hotel ofrece habitaciones modernas con WiFi gratuita y está situado en el centro de Milán, a 100 metros de la estación de tren central de Milán.

Las habitaciones incluyen TV de pantalla plana y baño privado con bañera o ducha y artículos de aseo gratuitos.

La recepción está abierta las 24 horas. Además, el hotel proporciona servicios de alquiler de coches y préstamo de bicicletas.

El 43 Station Hotel cuenta con conexiones de transporte público excelentes con todos los lugares de Milán, en autobús, metro o tranvía. Las cafeterías y restaurantes del barrio de Brera se encuentran a 2 km. La catedral de Milán queda a 5 paradas de metro."
10,Arcus Pacis - Large Central Flat,"8,7",4,Sempione,1.8,1.839,"Arcus Pacis - Large Central Flat está en Milán, a 5 min a pie de Arena Civica, y dispone de alojamiento con terraza, wifi gratis, cajero automático y servicio de conserjería. Este alojamiento con vistas a la ciudad ofrece balcón.

Este apartamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 2 baños con bidet y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Castillo Sforzesco, Pinacoteca de Brera y Iglesia de Santa Maria delle Grazie. El aeropuerto (Aeropuerto de Milán - Linate) está a 11 km."
11,Room Inn,"9,4",4,Centro de Milán,1.6,1.210,"El Room Inn está situado frente a la parada de metro de Moscova y ofrece habitaciones modernas con conexión WiFi gratuita y aire acondicionado. La catedral de Milán está a menos de 10 minutos en tranvía.

Todas las habitaciones cuentan con TV de pantalla plana y escritorio. El baño privado incluye ducha y secador de pelo.

Todos los días se sirve un desayuno dulce con productos caseros. El establecimiento puede preparar almuerzos y cenas bajo petición.

El Room Inn está a menos de 10 minutos a pie del parque Sempione, la zona de Brera y la estación de tren de Porta Garibaldi."
12,The Unique,"8,6",4,Centro de Milán,0.7,1.923,"El Unique está situado en el barrio de Brera de Milán, a 500 metros del castillo Sforzesco y a 10 minutos a pie del teatro de La Scala, la Galleria Vittorio Emanuele y la catedral de Milán.

Todas las habitaciones del The Unique cuentan con aire acondicionado, TV de pantalla plana, hervidor de agua, cafetera y minibar. El baño privado incluye ducha, artículos de aseo gratuitos y secador de pelo. Se proporcionan zapatillas y albornoces. Algunas tienen balcón.

El aeropuerto de Milán-Linate está a 10 km."
13,Imperiale Suites Milano,"8,7",4,Centro de Milán,0.5,2.103,"Imperiale Suites Milano está en Milán, a 5 min a pie de Castillo Sforzesco y a 400 metros del centro, y ofrece alojamiento con aire acondicionado, wifi gratis y bar.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales vía satélite y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. También hay nevera, lavavajillas y microondas, además de cafetera.

El apartahotel ofrece desayuno italiano o americano.

Cerca del alojamiento hay puntos de interés como San Maurizio al Monastero Maggiore, La Scala y Galería Vittorio Emanuele. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
14,Navigli Suites,"8,5",4,Navigli,1.7,1.095,"Navigli Suites se encuentra en el barrio de Navigli, en Milán, a 4 min a pie de Dársena de Milán y a 1,2 km de MUDEC. Se ofrece wifi gratis en todo el alojamiento.

Cada unidad dispone de baño privado, bidet, aire acondicionado, TV y nevera. También hay microondas, minibar y hervidor.

Cerca del alojamiento hay puntos de interés como Iglesia de Santa Maria delle Grazie, San Maurizio al Monastero Maggiore y Piazza del Duomo. El aeropuerto (Aeropuerto de Milán - Linate) está a 10 km."
15,Hotel Alga,"8,3",3,Milán,5.6,819,"El Hotel Alga se encuentra a 3 km de la estación de metro Famagosta, en el sur de Milán, cerca del pabellón Mediolanum Forum de Assago y de la autopista A7. Las habitaciones cuentan con TV de pantalla plana con canales Sky. Hay WiFi gratuita en todas las zonas.

Las habitaciones incluyen aire acondicionado, suelo de parquet y baño privado con ducha.

El desayuno es un buffet.

Este hotel cuenta con gimnasio y centro de conferencias moderno.

La estación de metro Famagosta (línea verde) está a solo 1 parada de autobús y enlaza rápidamente con el centro. El establecimiento está a 25 minutos en coche del centro de exposiciones Rho FieraMilano y a 5 km de Forum Assago."
16,Orti House Apartments - total renovation on Apr 2023,"8,8",3,Centro de Milán,1.4,1.098,"Orti House Apartments - total renovation on Apr 2023 se encuentra en el centro de Milán, a 6 min a pie de Porta Romana Metro Station y a 1,4 km de Palacio Real, y ofrece alojamiento con wifi gratis y patio.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera, microondas y fogones, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Museo Del Novecento, Villa Necchi Campiglio y Estación de metro San Babila. El aeropuerto (Aeropuerto de Milán - Linate) está a 7 km."
17,Easy Milano Apartment Navigli,"8,3",3,Navigli,2.1,975,"Easy Milano Apartment Navigli se encuentra en Milán, a 12 min a pie de Dársena de Milán y a 2,6 km de Porta Romana Metro Station, y ofrece alojamiento con wifi gratis y zona de estar.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con bidet, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera, microondas y fogones, además de hervidor.

Palacio Real está a 2,7 km del alojamiento, y Museo Del Novecento está a 2,7 km. El aeropuerto (Aeropuerto de Milán - Linate) está a 9 km."
